CASE_ID;Региональный_филиал;Населенный_пункт;Код_открытия_обращения;Код_закрытия_обращения;Технология;Услуга;Количество_операций_в_выполнении_процесса;Общее_время_выполнения_процесса
482847014##8913749;Петербургский филиал ОАО «ххх» Ленинградская обл.;КИРИШИ;Нет соединения от абонента / к абоненту;Шнур (м/телефонный, розеточный);Медная пара;ОТА;8;94:50:01
482847015##8913750;Мурманский филиал ОАО «ххх»;РОСЛЯКОВО;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;8;95:43:34
482847016##8913758;Коми филиал ОАО «ххх»;УСИНСК;Неустойчивое физическое соединение;Обновление/замена ПО;FTTx;ШПД;9;95:10:47
482847017##8913765;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Нет соединения от абонента / к абоненту;Распределительная коробка;Медная пара;ОТА;6;92:25:11
482847018##8913766;Вологодский филиал ОАО «ххх»;ЧЕРЕПОВЕЦ;01. Отсутствует синхронизация;Замена CPE;PON;ШПД;14;115:59:10
482847019##8913767;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Повреждение в зоне ответственности абонента;Прочее;Кабельное TV;8;94:54:54
482847020##8913778;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена блока питания CPE;DOCSIS;ШПД;14;122:41:31
482847021##8913779;Псковский филиал ОАО «ххх»;ГОРОДИЩЕ;"Нет зуммера ""ответ станции""";Произведена замена порта ADSL;Медная пара;ОТА;6;138:57:40
482847022##8913782;Псковский филиал ОАО «ххх»;ОСТРОВ;Неустойчивое физическое соединение;Плановые работы на сети;xDSL;ШПД;4;142:30:51
482847023##8913783;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;Нет соединения от абонента / к абоненту;Комнатная проводка (в домовладении/квартире);Медная пара;ОТА;12;92:00:33
482847024##8913790;Новгородский филиал ОАО «ххх»;ВЕЛИКИЙ НОВГОРОД;01. Отсутствует синхронизация;Перезапуск клиентских устройств;FTTx;ШПД;6;92:33:21
482847025##8913792;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПУШКИН;Низкая скорость;Необнаруженные повреждения;xDSL;ШПД;6;92:32:59
482847026##8913793;Коми филиал ОАО «ххх»;ПЕРВОМАЙСКИЙ;Нет соединения от абонента / к абоненту;Произведена настройка телефонного аппарата;Медная пара;ОТА;6;95:33:19
482847027##8913796;Вологодский филиал ОАО «ххх»;ЧЕРЕПОВЕЦ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;18;141:17:12
482847028##8913799;Петербургский филиал ОАО «ххх» Ленинградская обл.;РОЩИНО;"Нет зуммера ""ответ станции""";Необнаруженные повреждения;Медная пара;ОТА;6;91:27:11
482847029##8913801;Коми филиал ОАО «ххх»;ВОРКУТА;01. Отсутствует синхронизация;Замена коннектора;FTTx;ШПД;6;89:01:01
482847030##8913805;Архангельский филиал ОАО «ххх»;ОНЕГА;01. Отсутствует синхронизация;Повреждение абонентского оборудования (собственность абонента);xDSL;ШПД;6;90:25:56
482847031##8913808;Петербургский филиал ОАО «ххх» Ленинградская обл.;ВЫБОРГ;Отсутствие на всех каналах;Замена патч-корда;PON;IP-TV;9;90:34:58
482847032##8913812;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Отказ от заявки/вызова;Медная пара;ОТА;6;90:54:27
482847033##8913814;Петербургский филиал ОАО «ххх» Ленинградская обл.;ВЫБОРГ;Нет соединения от абонента / к абоненту;Станционный механизм;Медная пара;ОТА;6;89:22:26
482847034##8913817;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена телефонной розетки, вилки;Медная пара;ОТА;6;92:23:58
482847035##8913819;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Оставлено до вторичного заявления;PON;ШПД;12;93:18:12
482847036##8913820;Мурманский филиал ОАО «ххх»;ПОЛЯРНЫЙ;"Нет зуммера ""ответ станции""";Отказ от заявки/вызова;Медная пара;ОТА;6;91:12:38
482847037##8913822;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;"Нет зуммера ""ответ станции""";Повреждение охранной сигнализации;Медная пара;ОТА;12;89:37:18
482847038##8913823;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Зуммер ""занято""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;92:22:36
482847039##8913824;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ТЕЛЬМАНА;Другая проблема;Повреждение в зоне ответственности абонента;Прочее;Кабельное TV;8;115:21:29
482847040##8913828;Коми филиал ОАО «ххх»;ВЫЛЬГОРТ;01. Отсутствует синхронизация;Оптическое волокно в квартире;PON;ШПД;8;91:16:39
482847041##8913829;Карельский филиал ОАО «ххх»;ШУЯ;"Нет зуммера ""ответ станции""";Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;6;91:55:52
482847042##8913832;Коми филиал ОАО «ххх»;ЕМВА;Неустойчивое физическое соединение;Настройка CPE;xDSL;ШПД;6;95:24:50
482847043##8913833;Мурманский филиал ОАО «ххх»;МУРМАНСК;Отсутствие на всех каналах;Замена STB;PON;IP-TV;8;91:24:30
482847044##8913836;Псковский филиал ОАО «ххх»;ЛУКОМО;01. Отсутствует синхронизация;Произведена замена порта ADSL;xDSL;ШПД;6;93:48:33
482847045##8913837;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена STB;PON;IP-TV;14;98:42:18
482847046##8913843;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КРАСНОЕ СЕЛО;Замена (восстановление) проводки;Замена коаксиального кабеля;Прочее;Кабельное TV;8;96:32:06
482847047##8913848;Псковский филиал ОАО «ххх»;ПСКОВ;02. Не отображаются стр., нет авторизации;Комнатная проводка до клиента (до квартиры абонента/в подъезде);FTTx;ШПД;9;92:04:37
482847048##8913850;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Отключен добавочный аппарат в коммунальной квартире;Медная пара;ОТА;6;91:14:44
482847049##8913859;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на всех каналах;Повреждение не обнаружено, услуга работает;Прочее;Кабельное TV;4;93:57:38
482847050##8913863;Коми филиал ОАО «ххх»;СЫКТЫВКАР;03. Не отображ. стр., авторизация пройдена;Исправлена схема подключения;PON;ШПД;9;92:20:44
482847051##8913865;Петербургский филиал ОАО «ххх» Ленинградская обл.;ГАНЬКОВО;Неустойчивое физическое соединение;Повреждение клиентского оборудования ;xDSL;ШПД;4;93:45:21
482847052##8913874;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПУШКИН;Отсутствие на всех каналах;Проблемы с электропитанием;Прочее;Кабельное TV;12;118:48:27
482847053##8913875;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена STB;PON;IP-TV;14;101:43:34
482847054##8913877;Мурманский филиал ОАО «ххх»;РЕВДА;Отсутствие на всех каналах;Замена блока питания STB;FTTx;IP-TV;9;95:39:08
482847055##8913882;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена клиентского оборудования;Замена блока питания CPE;xDSL;ШПД;9;89:26:26
482847056##8913883;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Повреждение в зоне ответственности абонента;Прочее;Кабельное TV;6;99:01:09
482847057##8913885;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Нет соединения от абонента / к абоненту;Муфта магистрального кабеля;Медная пара;ОТА;8;120:26:06
482847058##8913886;Вологодский филиал ОАО «ххх»;ЧЕРЕПОВЕЦ;01. Отсутствует синхронизация;Оптическое волокно в квартире;PON;ШПД;6;89:30:19
482847059##8913888;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;До вторичного заявления (кабельные);PON;IP-TV;9;98:25:08
482847060##8913889;Мурманский филиал ОАО «ххх»;СЕВЕРОМОРСК;Отсутствие на всех каналах;Отказ от заявки/вызова;PON;IP-TV;14;93:49:11
482847061##8913894;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Оптическое волокно в квартире;PON;ШПД;12;94:28:25
482847062##8913898;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена (восстановление) проводки;Комнатная проводка (в домовладении/квартире);Прочее;Кабельное TV;8;114:18:40
482847063##8913901;Архангельский филиал ОАО «ххх»;СЕВЕРОДВИНСК;01. Отсутствует синхронизация;Замена патч-корда;PON;ШПД;12;91:13:49
482847064##8913903;Калининградский филиал ОАО «ххх»;КАЛИНИНГРАД;01. Отсутствует синхронизация;Исправлена схема подключения;xDSL;ШПД;14;97:18:10
482847065##8913905;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Комнатная проводка (в домовладении/квартире);Медная пара;ОТА;6;92:36:55
482847066##8913909;Калининградский филиал ОАО «ххх»;СОВЕТСК;01. Отсутствует синхронизация;Отказ от заявки/вызова;xDSL;ШПД;6;91:21:26
482847067##8913912;Новгородский филиал ОАО «ххх»;БОРОВИЧИ;02. Не отображаются стр., нет авторизации;Кабельный ящик;xDSL;ШПД;9;91:01:38
482847068##8913914;Мурманский филиал ОАО «ххх»;МУРМАНСК;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;9;89:49:04
482847069##8913917;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Повреждение РШ;Медная пара;ОТА;8;92:24:35
482847070##8913919;Новгородский филиал ОАО «ххх»;ВЕЛИКИЙ НОВГОРОД;02. Не отображаются стр., нет авторизации;Абонент не отвечает на вызов;xDSL;ШПД;4;91:54:42
482847071##8913922;Калининградский филиал ОАО «ххх»;ГУСЕВ;К абоненту попадают посторонние вызовы;Замена пары магистрали;Медная пара;ОТА;8;93:07:37
482847072##8913926;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на одном или неск. каналах;Комнатная проводка (в домовладении/квартире);Прочее;Кабельное TV;16;142:16:28
482847073##8913927;Мурманский филиал ОАО «ххх»;МУРМАНСК;01. Отсутствует синхронизация;Замена CPE;PON;ШПД;8;95:42:09
482847074##8913928;Мурманский филиал ОАО «ххх»;ЗАОЗЕРСК;Замена клиентского оборудования;Замена STB;FTTx;IP-TV;9;94:31:14
482847075##8913929;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Плохая слышимость;Комнатная проводка до клиента (до квартиры абонента/в подъезде);Медная пара;ОТА;6;93:51:32
482847076##8913933;Новгородский филиал ОАО «ххх»;БОРОВИЧИ;"Нет зуммера ""ответ станции""";Неверно собрана схема подключения;Медная пара;ОТА;6;91:59:54
482847077##8913935;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Оставлено до вторичного заявления;PON;ШПД;12;91:32:29
482847078##8913936;Коми филиал ОАО «ххх»;ВОРКУТА;Отсутствие на всех каналах;Тестирование скорости доступа услуги;FTTx;IP-TV;14;120:17:39
482847080##8913941;Калининградский филиал ОАО «ххх»;КАЛИНИНГРАД;Нет соединения от абонента / к абоненту;Оставлено до вторичного заявления;Медная пара;ОТА;8;116:43:44
482847081##8913943;Вологодский филиал ОАО «ххх»;ВОЛОГДА;Нет соединения от абонента / к абоненту;Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;6;90:47:16
482847082##8913946;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Комнатная проводка до клиента (до квартиры абонента/в подъезде);Медная пара;ОТА;8;94:45:29
482847083##8913947;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Зуммер ""занято""";Неисправность патчкорда в шкафу FTTB;PON;SIP;8;91:45:29
482847084##8913951;Мурманский филиал ОАО «ххх»;КОВДОР;02. Не отображаются стр., нет авторизации;Комнатная проводка до клиента (до квартиры абонента/в подъезде);FTTx;ШПД;8;96:58:26
482847085##8913952;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена STB;PON;IP-TV;12;92:04:50
482847086##8913955;Карельский филиал ОАО «ххх»;КЕМЬ;"Нет зуммера ""ответ станции""";Переключение выполнено;Медная пара;ОТА;6;88:08:18
482847087##8913958;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;14;95:22:28
482847088##8913962;Вологодский филиал ОАО «ххх»;ВОЛОГДА;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;16;93:10:43
482847089##8913963;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Зуммер ""занято""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;95:31:58
482847090##8913964;Калининградский филиал ОАО «ххх»;ГВАРДЕЙСК;"Нет зуммера ""ответ станции""";Сообщение провода (ВЛС, наброс, короткое, обрыв);Медная пара;ОТА;6;94:46:54
482847091##8913965;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Зуммер ""занято""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;94:35:49
482847092##8913967;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КОЛПИНО;Низкая скорость;Замена оптического коннектора;PON;ШПД;8;92:24:15
482847093##8913968;Петербургский филиал ОАО «ххх» Ленинградская обл.;ПИКАЛЕВО;"Нет зуммера ""ответ станции""";Повреждение проводки в квартире по вине абонента;Медная пара;ОТА;4;91:14:35
482847094##8913973;Мурманский филиал ОАО «ххх»;КОВДОР;Отсутствие на всех каналах;Настройка CPE;FTTx;IP-TV;9;97:33:58
482847095##8913974;Петербургский филиал ОАО «ххх» Ленинградская обл.;ТОСНО;Отсутствие на всех каналах;Замена оптического коннектора;PON;IP-TV;8;89:44:03
482847096##8913975;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Оптическое волокно в квартире;PON;SIP;12;95:14:14
482847097##8913977;Петербургский филиал ОАО «ххх» Ленинградская обл.;ЛОДЕЙНОЕ ПОЛЕ;"Нет зуммера ""ответ станции""";Произведен мелкий ремонт;Медная пара;ОТА;6;89:47:59
482847098##8913979;Мурманский филиал ОАО «ххх»;МУРМАШИ;Отсутствие на всех каналах;Замена STB;PON;IP-TV;9;93:21:59
482847099##8913981;Петербургский филиал ОАО «ххх» Ленинградская обл.;КИРИШИ;"Нет зуммера ""ответ станции""";Оставлено до вторичного заявления;Медная пара;ОТА;14;93:53:31
482847100##8913982;Мурманский филиал ОАО «ххх»;МУРМАНСК;Отсутствие на всех каналах;Замена STB;PON;IP-TV;8;89:43:21
482847101##8913987;Петербургский филиал ОАО «ххх» Ленинградская обл.;НОВЫЙ СВЕТ;Нет соединения от абонента / к абоненту;Перезапуск станционного оборудования;Медная пара;ОТА;4;118:46:48
482847102##8913988;Карельский филиал ОАО «ххх»;ВЕДЛОЗЕРО;01. Отсутствует синхронизация;Комнатная проводка (в домовладении/квартире);xDSL;ШПД;8;93:11:47
482847103##8913989;Мурманский филиал ОАО «ххх»;МУРМАНСК;04. Не доступна сеть Wi-Fi;Дана консультация;PON;ШПД;8;121:05:32
482847104##8913990;Вологодский филиал ОАО «ххх»;ЧЕРЕПОВЕЦ;Отсутствие на всех каналах;Направлен в ТПО/ПМ;PON;IP-TV;13;100:16:03
482847105##8913991;Коми филиал ОАО «ххх»;ПЕЧОРА;Искажение на всех каналах;Замена коннектора;FTTx;IP-TV;8;93:45:28
482847106##8913993;Калининградский филиал ОАО «ххх»;ПЕРВОМАЙСКОЕ;"Нет зуммера ""ответ станции""";Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;6;91:04:54
482847107##8913995;Карельский филиал ОАО «ххх»;СУОЯРВИ;Неустойчивое физическое соединение;Абонент отказался от заявки (до РК проверено, в порядке);xDSL;ШПД;6;114:25:18
482847108##8913996;Вологодский филиал ОАО «ххх»;БАБАЕВО;Неустойчивое логическое соединение;Неисправность коннектора;PON;ШПД;10;92:44:46
482847109##8913998;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Нет соединения от абонента / к абоненту;Замена пары в магистральном кабеле;Медная пара;ОТА;8;92:20:39
482847110##8913999;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена (восстановление) проводки;Комнатная проводка (в домовладении/квартире);Прочее;Кабельное TV;8;98:44:19
482847111##8914000;Вологодский филиал ОАО «ххх»;ВОЛОГДА;Отсутствие на всех каналах;Замена STB;PON;IP-TV;10;94:14:29
482847112##8914001;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КОЛПИНО;"Нет зуммера ""ответ станции""";Комнатная проводка (в домовладении/квартире);Медная пара;ОТА;6;90:50:21
482847113##8914004;Мурманский филиал ОАО «ххх»;МУРМАНСК;Искажение на всех каналах;Замена CPE;PON;IP-TV;9;95:49:45
482847114##8914008;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Нет соединения от абонента / к абоненту;Замена пары магистрали;Медная пара;ОТА;6;91:03:56
482847115##8914009;Псковский филиал ОАО «ххх»;ВЕЛИКИЕ ЛУКИ;Замена клиентского оборудования;Прочие с указанием причины;xDSL;IP-TV;4;95:07:30
482847116##8914012;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на одном/нескольких каналах;Повреждение в ЗО клиента;Прочее;Кабельное TV;6;115:12:53
482847117##8914016;Калининградский филиал ОАО «ххх»;ЧЕРНЯХОВСК;02. Не отображаются стр., нет авторизации;Замена оптического коннектора;PON;ШПД;10;89:51:08
482847118##8914024;Карельский филиал ОАО «ххх»;СОРТАВАЛА;01. Отсутствует синхронизация;Обрыв провода (ВЛС-сталь, ПРППМ);xDSL;ШПД;6;119:53:39
482847119##8914025;Архангельский филиал ОАО «ххх»;КАРГОПОЛЬ;Плохая слышимость;Неисправный аппарат;Медная пара;ОТА;6;90:38:30
482847120##8914027;Петербургский филиал ОАО «ххх» Ленинградская обл.;ШЛИССЕЛЬБУРГ;Отсутствие на всех каналах;Восстановление схемы подключения;PON;IP-TV;8;91:23:48
482847121##8914029;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена клиентского оборудования;Замена пульта STB;PON;IP-TV;16;93:57:21
482847122##8914034;Вологодский филиал ОАО «ххх»;ВОЛОГДА;Отсутствие на всех каналах;Замена пары в распределительном кабеле;PON;IP-TV;14;101:33:00
482847123##8914043;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена патч-корда;PON;IP-TV;8;91:54:04
482847124##8914044;Калининградский филиал ОАО «ххх»;ЗАГОРСКОЕ;02. Не отображаются стр., нет авторизации;Повреждение абонентского оборудования (собственность абонента);xDSL;ШПД;10;90:08:35
482847125##8914046;Коми филиал ОАО «ххх»;УХТА;Низкая скорость;Настройка CPE;xDSL;ШПД;6;91:14:12
482847126##8914047;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Актовая;Медная пара;ОТА;8;99:03:39
482847127##8914049;Коми филиал ОАО «ххх»;ПЕЧОРА;"Нет зуммера ""ответ станции""";Неисправен ТА абонента;Медная пара;ОТА;6;89:19:52
482847128##8914051;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на всех каналах;Необнаруженные повреждения;Прочее;Кабельное TV;10;93:58:38
482847129##8914054;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Повреждение не обнаружено, услуга работает;DOCSIS;ШПД;6;93:37:19
482847130##8914058;Мурманский филиал ОАО «ххх»;МУРМАНСК;Замена клиентского оборудования;Замена STB;PON;IP-TV;8;93:31:36
482847131##8914059;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена клиентского оборудования;Замена пульта STB;PON;IP-TV;8;91:12:01
482847132##8914060;Новгородский филиал ОАО «ххх»;ПАРФИНО;Нет соединения от абонента / к абоненту;Неисправен ТА абонента;Медная пара;ОТА;6;89:46:25
482847133##8914063;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Распределительная коробка;Медная пара;ОТА;6;94:05:40
482847134##8914067;Карельский филиал ОАО «ххх»;КЕМЬ;Замена клиентского оборудования;Замена CPE;FTTx;ШПД;8;93:11:08
482847135##8914070;Новгородский филиал ОАО «ххх»;БОРОВИЧИ;"Нет зуммера ""ответ станции""";Обрыв провода (ВЛС-сталь, ПРППМ);Медная пара;ОТА;6;93:51:35
482847136##8914071;Коми филиал ОАО «ххх»;ЗАПОЛЯРНЫЙ;"Нет зуммера ""ответ станции""";Муфта распределительного кабеля;Медная пара;ОТА;8;91:58:34
482847137##8914074;Петербургский филиал ОАО «ххх» Ленинградская обл.;ВЫБОРГ;Нет соединения от абонента / к абоненту;Комнатная проводка до клиента (до квартиры абонента/в подъезде);Медная пара;ОТА;6;89:23:14
482847138##8914076;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Плохая слышимость;Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;6;89:07:33
482847139##8914082;Петербургский филиал ОАО «ххх» Ленинградская обл.;ВЫБОРГ;01. Отсутствует синхронизация;Оставлено до вторичного заявления;xDSL;ШПД;8;90:40:27
482847140##8914087;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена коннектора;PON;ШПД;12;98:44:03
482847141##8914092;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;Низкая скорость;Настройка CPE;xDSL;ШПД;12;96:37:34
482847142##8914098;Архангельский филиал ОАО «ххх»;ПИНЕГА;01. Отсутствует синхронизация;Повреждение абонентского оборудования (собственность абонента);xDSL;ШПД;6;90:20:46
482847143##8914102;Мурманский филиал ОАО «ххх»;МУРМАНСК;Отсутствие на всех каналах;Замена блока питания STB;PON;IP-TV;8;92:23:56
482847144##8914106;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;Замена (восстановление) проводки;Дополнительные услуги (перенос, прокладка, удлинение кабеля и подключение последующего телевизора и пр.);FTTx;ШПД;8;94:27:40
482847145##8914107;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена патч-корда;PON;IP-TV;9;90:36:31
482847146##8914108;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена клиентского оборудования;Замена пульта STB;PON;IP-TV;8;90:07:50
482847147##8914111;Архангельский филиал ОАО «ххх»;БЕРЕЗНИК;"Нет зуммера ""ответ станции""";Комнатная проводка до клиента (до квартиры абонента/в подъезде);Медная пара;ОТА;6;93:46:08
482847148##8914113;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;"Нет зуммера ""ответ станции""";Неисправный аппарат;PON;SIP;6;89:57:05
482847149##8914121;Архангельский филиал ОАО «ххх»;ОНЕГА;"Нет зуммера ""ответ станции""";Комнатная проводка (в домовладении/квартире);Медная пара;ОТА;6;93:20:19
482847150##8914122;Коми филиал ОАО «ххх»;ПЕЧОРА;Замена клиентского оборудования;Настройка пульта STB;FTTx;IP-TV;8;90:20:23
482847151##8914126;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Исправлена схема подключения;DOCSIS;ШПД;8;95:13:44
482847152##8914128;Коми филиал ОАО «ххх»;ВОРКУТА;01. Отсутствует синхронизация;Повреждение ведомственной сети;xDSL;ШПД;6;92:08:45
482847153##8914131;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;6;90:28:34
482847154##8914133;Петербургский филиал ОАО «ххх» Ленинградская обл.;КИНГИСЕПП;01. Отсутствует синхронизация;Отказ от заявки/вызова;xDSL;ШПД;4;88:03:23
482847155##8914134;Псковский филиал ОАО «ххх»;НОВОРЖЕВ;"Нет зуммера ""ответ станции""";Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;6;117:02:14
482847156##8914140;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;12;91:55:48
482847157##8914143;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Исправлена схема подключения;DOCSIS;ШПД;12;120:09:31
482847158##8914146;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Произведен мелкий ремонт;Медная пара;ОТА;6;96:43:34
482847159##8914147;Мурманский филиал ОАО «ххх»;МУРМАНСК;Отсутствие на всех каналах;Замена оптического коннектора;PON;IP-TV;8;90:15:25
482847160##8914148;Коми филиал ОАО «ххх»;СЫКТЫВКАР;04. Не доступна сеть Wi-Fi;Замена CPE;PON;ШПД;12;137:43:27
482847161##8914149;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в распределительном кабеле;Медная пара;ОТА;6;91:28:32
482847162##8914151;Архангельский филиал ОАО «ххх»;КОРЯЖМА;Замена клиентского оборудования;Замена STB;PON;IP-TV;10;94:08:37
482847163##8914152;Петербургский филиал ОАО «ххх» Ленинградская обл.;ВЫБОРГ;01. Отсутствует синхронизация;Замена CPE;PON;ШПД;8;91:07:33
482847164##8914153;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПЕТЕРГОФ;Нет соединения от абонента / к абоненту;Замена пары в распределительном кабеле;Медная пара;ОТА;8;94:48:05
